id,date,time,mode,rating
242,2021/06/21,22:34:42,en2cn,5
241,2021/06/21,22:34:49,en2cn,5
240,2021/06/21,22:34:59,cn2en,4
229,2021/06/21,22:35:02,en2cn,5
235,2021/06/21,22:35:05,cn2en,6
228,2021/06/21,22:35:08,en2cn,6
240,2021/06/21,22:35:11,en2cn,6
223,2021/06/21,22:35:18,en2cn,5
241,2021/06/21,22:35:22,cn2en,5
238,2021/06/21,22:35:26,en2cn,5
226,2021/06/21,22:35:48,cn2en,3
233,2021/06/21,22:35:52,cn2en,6
226,2021/06/21,22:36:08,en2cn,4
131,2021/06/21,22:37:23,cn2en,1
43,2021/06/21,22:37:52,cn2en,2
196,2021/06/21,22:38:07,cn2en,3
242,2021/06/21,22:38:18,cn2en,4
102,2021/06/21,22:39:06,cn2en,2
206,2021/06/21,22:39:21,cn2en,3
150,2021/06/21,22:39:37,cn2en,1
44,2021/06/21,22:40:05,cn2en,4
207,2021/06/21,22:40:27,cn2en,2
148,2021/06/21,22:41:08,cn2en,1
257,2021/06/23,18:12:29,en2cn,5
275,2021/06/23,18:12:40,cn2en,3
264,2021/06/23,18:12:50,en2cn,3
265,2021/06/23,18:12:54,cn2en,6
271,2021/06/23,18:12:58,cn2en,6
255,2021/06/23,18:13:08,cn2en,3
274,2021/06/23,18:13:20,en2cn,3
246,2021/06/23,18:13:32,en2cn,4
247,2021/06/23,18:13:59,en2cn,1
254,2021/06/23,18:14:04,cn2en,5
255,2021/06/23,18:14:08,en2cn,4
253,2021/06/23,18:14:27,cn2en,3
271,2021/06/23,18:14:32,en2cn,5
264,2021/06/23,18:14:36,cn2en,6
250,2021/06/23,18:14:44,cn2en,5
251,2021/06/23,18:14:52,cn2en,3
272,2021/06/23,18:15:25,cn2en,3
259,2021/06/23,18:15:29,en2cn,6
265,2021/06/23,18:15:32,en2cn,6
262,2021/06/23,18:15:35,en2cn,6
269,2021/06/23,18:15:44,en2cn,4
252,2021/06/23,18:15:50,cn2en,5
259,2021/06/23,18:15:53,cn2en,6
261,2021/06/23,18:16:01,en2cn,4
267,2021/06/23,18:16:12,en2cn,3
253,2021/06/23,18:16:21,en2cn,4
249,2021/06/23,18:16:26,cn2en,5
249,2021/06/23,18:16:28,en2cn,5
263,2021/06/23,18:16:32,cn2en,6
258,2021/06/23,18:16:35,en2cn,6
276,2021/06/23,18:16:43,cn2en,6
263,2021/06/23,18:16:49,en2cn,6
277,2021/06/23,18:16:55,cn2en,6
245,2021/06/23,18:17:01,en2cn,6
268,2021/06/23,18:17:11,cn2en,5
243,2021/06/23,18:17:17,en2cn,3
275,2021/06/23,18:17:58,en2cn,5
257,2021/06/23,18:18:03,cn2en,6
272,2021/06/23,18:18:10,en2cn,5
243,2021/06/23,18:18:14,cn2en,6
270,2021/06/23,18:18:34,cn2en,4
256,2021/06/23,18:18:42,cn2en,5
276,2021/06/23,18:18:47,en2cn,6
268,2021/06/23,18:18:49,en2cn,6
267,2021/06/23,18:18:52,cn2en,6
245,2021/06/23,18:18:58,cn2en,6
274,2021/06/23,18:19:01,cn2en,6
262,2021/06/23,18:19:06,cn2en,6
247,2021/06/23,18:19:17,cn2en,4
273,2021/06/23,18:19:30,cn2en,3
244,2021/06/23,18:19:34,en2cn,5
251,2021/06/23,18:19:41,en2cn,5
260,2021/06/23,18:19:44,cn2en,6
273,2021/06/23,18:19:48,en2cn,6
246,2021/06/23,18:19:52,cn2en,6
266,2021/06/23,18:19:58,en2cn,5
266,2021/06/23,18:20:01,cn2en,5
258,2021/06/23,18:20:03,cn2en,6
269,2021/06/23,18:20:07,cn2en,6
277,2021/06/23,18:20:10,en2cn,6
254,2021/06/23,18:20:12,en2cn,6
270,2021/06/23,18:20:17,en2cn,5
248,2021/06/23,18:20:24,en2cn,5
244,2021/06/23,18:20:27,cn2en,6
260,2021/06/23,18:20:30,en2cn,6
250,2021/06/23,18:20:37,en2cn,5
261,2021/06/23,18:20:42,cn2en,6
248,2021/06/23,18:20:44,cn2en,6
252,2021/06/23,18:20:49,en2cn,6
256,2021/06/23,18:20:52,en2cn,6
290,2021/06/23,18:22:31,en2cn,2
296,2021/06/23,18:22:36,en2cn,5
291,2021/06/23,18:22:48,cn2en,2
293,2021/06/23,18:22:59,en2cn,4
283,2021/06/23,18:23:30,cn2en,2
290,2021/06/23,18:23:39,cn2en,2
283,2021/06/23,18:23:48,en2cn,4
281,2021/06/23,18:23:55,cn2en,3
279,2021/06/23,18:24:01,cn2en,3
295,2021/06/23,18:24:09,cn2en,3
284,2021/06/23,18:24:39,en2cn,5
280,2021/06/23,18:24:48,en2cn,5
286,2021/06/23,18:24:53,en2cn,5
292,2021/06/23,18:25:02,en2cn,3
293,2021/06/23,18:25:05,cn2en,6
301,2021/06/23,18:25:10,en2cn,5
281,2021/06/23,18:25:13,en2cn,5
285,2021/06/23,18:25:19,en2cn,5
282,2021/06/23,18:25:25,cn2en,5
301,2021/06/23,18:25:27,cn2en,6
300,2021/06/23,18:25:30,cn2en,6
300,2021/06/23,18:25:31,en2cn,6
297,2021/06/23,18:25:41,cn2en,4
294,2021/06/23,18:25:45,cn2en,6
285,2021/06/23,18:25:47,cn2en,6
278,2021/06/23,18:25:50,cn2en,6
288,2021/06/23,18:26:01,cn2en,3
298,2021/06/23,18:26:10,en2cn,4
299,2021/06/23,18:26:21,en2cn,4
289,2021/06/23,18:26:33,cn2en,5
279,2021/06/23,18:26:37,en2cn,6
287,2021/06/23,18:26:44,cn2en,6
296,2021/06/23,18:26:47,cn2en,6
299,2021/06/23,18:26:50,cn2en,6
294,2021/06/23,18:26:53,en2cn,6
286,2021/06/23,18:26:55,cn2en,6
295,2021/06/23,18:26:58,en2cn,6
287,2021/06/23,18:27:00,en2cn,6
280,2021/06/23,18:27:03,cn2en,6
278,2021/06/23,18:27:06,en2cn,6
297,2021/06/23,18:27:11,en2cn,6
282,2021/06/23,18:27:14,en2cn,6
284,2021/06/23,18:27:16,cn2en,6
291,2021/06/23,18:27:18,en2cn,6
292,2021/06/23,18:27:21,cn2en,5
298,2021/06/23,18:27:24,cn2en,6
289,2021/06/23,18:27:27,en2cn,6
302,2021/06/23,18:27:34,cn2en,6
288,2021/06/23,18:27:37,en2cn,6
302,2021/06/23,18:27:39,en2cn,5
338,2021/07/18,09:02:32,cn2en,4
339,2021/07/18,09:02:46,cn2en,5
335,2021/07/18,09:02:55,en2cn,3
305,2021/07/18,09:03:06,cn2en,5
342,2021/07/18,09:03:22,cn2en,5
307,2021/07/18,09:03:46,cn2en,3
334,2021/07/18,09:04:03,en2cn,3
330,2021/07/18,09:04:09,en2cn,6
344,2021/07/18,09:04:34,en2cn,3
303,2021/07/18,09:04:47,cn2en,5
304,2021/07/18,09:05:05,en2cn,3
327,2021/07/18,09:05:23,en2cn,1
306,2021/07/18,09:05:38,cn2en,3
340,2021/07/18,09:05:56,en2cn,4
313,2021/07/18,09:06:16,cn2en,3
332,2021/07/18,09:06:34,en2cn,3
340,2021/07/18,09:06:44,cn2en,5
311,2021/07/18,09:06:49,en2cn,6
307,2021/07/18,09:07:01,en2cn,5
